,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
467,,2020-03-14 12:41:03,Roniewil, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,"Nairobi, Kenya🇰🇪",False,Twitter for Android,176,0
468,,2020-03-14 12:40:43,DeniYachina, 😂😂😂😂Raymond Reddington instructing Glen to to track down the creator of corona virus.. 😂😂He will probably find him in l…,en,Kiambu Kenya,False,Twitter Web App,14,0
469,,2020-03-14 12:40:39,Justoomwash94, Stay safe.Meanwhile Gargling ni kufanya Groooooo  Groooooo .Hope you feel me #covid19kenya #coronaInkenya #rongai …,en,"Kakamega, Kenya",False,Twitter for Android,34,0
470,,2020-03-14 12:40:25,VicZyp, Imagine naomba Dame number ananipea za GOTV customer care 😥😥 women are wicked 🏃🏃#covid19kenya #KOTLoyals #KOTLoyalsOnl…,en,,False,autorettweethasht,1,0
471,,2020-03-14 12:40:21,FMfalme, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,global village ,False,Twitter for iPhone,328,0
472,,2020-03-14 12:40:17,VicZyp," When you need any type of dental work done,the last thing you want is an uncomfortable procedure.Contact …",en,,False,autorettweethasht,1,0
473,,2020-03-14 12:40:15,DeniYachina, Who is the smartest schemer??A-Raymond Reddignton B-Michael ScofieldC-Sergio Marquina (Professor)D-Baba#coronaInkenya…,en,Kiambu Kenya,False,Twitter Web App,9,0
474,,2020-03-14 12:40:15,zablon_ekisa, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,"Syokimau, Kenya",False,Twitter for Android,254,0
475,,2020-03-14 12:40:07,VicZyp," When you need any type of dental work done,the last thing you want is an uncomfortable procedure.Contact us today for…",en,,False,autorettweethasht,1,0
476,,2020-03-14 12:39:54,VicZyp, #rongai #covid19kenya #Rwanda #KOTLoyals #KOTLoyalsOnly #Alai #coronaInkenya #Reddington  Mkichomea mtu kwa mat ati ako na…,tl,,False,autorettweethasht,3,0
477,,2020-03-14 12:39:34,Propesaa, This is an unfair attack 😥😥😥Kalenjins were just panicking like everyone else! 😂#Covid19Kenya #CoronaInKenya#CoronaVirusUpd…,en,"Nairobi, Kenya",False,Twitter for Android,17,0
478,,2020-03-14 12:39:30,chum_iam,Is Black Death plague back??#coronaInkenya #rongai #covid19kenya #CoronaVirusUpdates ,en,jungle,False,Twitter for Android,1,0
479,,2020-03-14 12:39:18,itsrealbuke, Coronavirus panic-buying leads to empty shelves in Nairobi#coronaInkenya ,en,"Nairobi, Kenya",False,Twitter for Android,24,0
480,,2020-03-14 12:39:03,BettVickayz," ""Dembe, get the chopper. We're going to Wuhan China."" #covid19kenya #CoronaVirusUpdates #coronaInkenya #rongai …",en,"Kakamega, Kenya",False,Twitter for Android,2,0
481,,2020-03-14 12:38:50,Karlmarx2695,So corona could be sexually transmittedKoinange street ifungwe#covid19kenya #coronaInkenya #CoronaVirusUpdates #coronapocalypse,en,Kenya,False,Twitter for Android,0,2
482,,2020-03-14 12:38:40,its_renson, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,Kenya,False,Twitter for Android,328,0
483,,2020-03-14 12:38:36,kingofzamundaKE, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"Nairobi, Kenya",False,Twitter Web App,328,0
484,,2020-03-14 12:38:26,ItsOmbasoKE, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"Nakuru, Kenya",False,Twitter for Android,328,0
