79,80,2019-10-11 13:14:07,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,14,8,83,8.222222222222221,2,1,0,1,0.0
80,81,2019-10-11 13:11:53,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,nairobi,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,11,8,83,8.222222222222221,2,1,0,1,0.0
81,82,2019-10-11 13:09:18,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,9,8,83,8.222222222222221,2,1,0,1,0.0
82,83,2019-10-11 13:06:05,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,6,8,83,8.222222222222221,2,1,0,1,0.0
83,84,2019-10-11 13:05:44,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Langas, Eldoret",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,5,8,83,8.222222222222221,2,1,0,1,0.0
84,85,2019-10-11 13:03:12,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,3,8,83,8.222222222222221,2,1,0,1,0.0
85,86,2019-10-11 12:44:48,rt jerotichseii rasnawarah prepaid final frontier consumer rip offs slow bleed think youre control,en,,False,Twitter for Android,5,0,2019,41,284,October,4,Friday,12,44,23,140,5.130434782608695,7,0,0,1,-0.15000000000000002
86,87,2019-10-11 12:40:15,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya ,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,12,40,8,83,8.222222222222221,2,1,0,1,0.0
87,88,2019-10-11 12:10:09,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,12,10,8,83,8.222222222222221,2,1,0,1,0.0
88,89,2019-10-11 12:10:04,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Flea Bottom,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,12,10,8,83,8.222222222222221,2,1,0,1,0.0
